Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.75	0.4330127	1.0	0.0	240.0	0.0285568	0.0053160493	0.035638038	0.01991386	1000	-3.8146974e-09	0.107862	0.376882	-0.10778807	19.329674	0.07349613	0.171875	9.0	8.404181003570557
1	0.75	1.299038	3.0	0.0	240.0	0.29959837	0.06126305	0.62344617	0.22881117	2000	-3.8146975e-08	0.37581694	0.47129342	-0.37544438	19.275879	0.10685892	0.421875	9.0	15.968567132949829
2	0.5	0.5	1.0	0.0	240.0	0.3031348	0.26178944	0.7307854	-0.23506643	3000	-1.9073488e-08	0.24890742	0.41018763	-0.2486983	19.23603	0.15394425	0.5	9.0	23.490145921707153
3	0.75	0.8291562	2.0	0.0	240.0	0.4882176	0.24165265	0.9090658	-0.29209405	4000	-3.4332277e-08	0.2891501	0.7511479	-0.28610933	19.194557	0.1946871	0.390625	9.0	30.97994065284729
4	1.25	0.8291562	2.0	0.0	240.0	0.24086477	0.11993801	0.720054	-0.030831918	5000	-1.525879e-08	0.17619543	0.4621009	-0.1682624	19.17694	0.14501944	0.4375	9.0	38.50072884559631
5	1.5	0.8660254	3.0	1.0	240.0	0.5807603	0.29485598	1.2978035	-0.018040132	6000	3.051758e-08	0.24723737	0.041158445	-0.24330014	19.070412	-0.0053611416	0.3125	9.0	45.993911266326904
6	1.0	1.2247449	3.0	0.0	240.0	0.69427234	0.3511449	1.6274836	0.21285205	7000	-1.9073488e-08	0.55663735	1.5043136	-0.5530286	19.073908	0.37619203	0.875	9.0	53.79577040672302
7	0.5	0.5	1.0	0.0	240.0	0.21883185	0.2169792	1.2827177	-0.26523757	8000	-2.861023e-08	0.16749835	-0.06362516	-0.16568229	19.057987	0.032014333	0.578125	9.0	61.34794735908508
8	1.0	0.0	1.0	1.0	240.0	0.28226897	0.29817867	1.2461212	-0.102355495	9000	-1.9073488e-08	0.27377427	0.5308056	-0.27265325	19.085232	0.33963463	0.875	9.0	68.91077971458435
9	2.25	1.0897248	4.0	1.0	240.0	0.3026936	0.22826858	0.8847687	-0.20626007	10000	1.525879e-08	0.369635	0.23250528	-0.32001454	19.058746	0.15926811	0.4375	9.0	76.43799304962158
